Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	ShiftX(mm)	ShiftY(mm)	ShiftZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 18:06:41.180	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:47.885	-0.828	-0.001	-0.56	-0.366	0.183	-0.061							-1.5	67.126	132.825	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.239	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.828	0	-0.559	-0.366	0.183	0							-1.5	67.126	132.825	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.255	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.747	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.269	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.5	67.132	132.825	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.314	f9:a2:89:42:44:2c	2015-01-01 02:11:44.145	0.746	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.344	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.360	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	0	-0.56	-0.427	0.183	0							-1.5	67.132	132.83	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.374	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.449	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	0	-0.559	-0.427	0.244	-0.061							-1.5	67.132	132.83	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.449	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	0	-0.56	-0.427	0.183	0							-1.5	67.132	132.83	100.800	21.900	40.447	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.493	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.495	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.510	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	-0.001	-0.56	-0.366	0.183	-0.061							-1.5	67.132	132.83	100.300	22.100	38.873	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.525	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.200	-4.193	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.570	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.827	0	-0.56	-0.366	0.183	-0.061							-1.5	67.132	132.83	100.300	22.100	38.873	24.62	-0.4295	-0.35364	-0.80933	0.18805	
 18:06:41.584	f9:a2:89:42:44:2c	2015-01-01 02:11:44.505	0.746	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-43.500	20.500	0.073	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:41.600	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:48.300	-0.828	-0.001	-0.56	-0.427	0.244	-0.061							-1.5	67.132	132.83	100.300	22.100	38.873	24.62	-0.4295	-0.35361	-0.80933	0.18805	
