Time (seconds),Time (steps),Torque (N·m)
1.2096000000000013,168,2214.733
1.2168000000000014,169,2101.612
1.2240000000000015,170,2014.196
1.2312000000000016,171,1909.987
1.2384000000000017,172,1804.907
1.2456000000000018,173,1709.946
1.252800000000002,174,1622.178
1.260000000000002,175,1530.339
1.267200000000002,176,1451.973
1.2744000000000022,177,1352.978
1.2816000000000023,178,1274.417
1.2888000000000024,179,1219.106
1.2960000000000025,180,1137.311
1.3032000000000026,181,1055.665
1.3104000000000027,182,983.658
1.3176000000000028,183,925.473
1.3248000000000029,184,856.684
1.332000000000003,185,809.905
1.339200000000003,186,759.4
1.3464000000000031,187,684.37
1.3536000000000032,188,638.969
1.3608000000000033,189,606.655
1.3680000000000034,190,557.077
1.3752000000000035,191,498.884
1.3824000000000036,192,477.324
1.3896000000000037,193,430.093
1.3968000000000038,194,384.53
1.404000000000004,195,354.363
1.411200000000004,196,337.126
1.418400000000004,197,289.129
1.4256000000000042,198,272.604
1.4328000000000043,199,242.272
1.4400000000000044,200,222.177
1.4472000000000045,201,192.78
1.4544000000000046,202,171.9
1.4616000000000047,203,150.111
1.4688000000000048,204,131.049
1.4760000000000049,205,127.162
1.483200000000005,206,100.198
1.490400000000005,207,92.43
1.4976000000000051,208,82.231
1.5048000000000052,209,69.463
1.5120000000000053,210,51.341
1.5192000000000054,211,36.757
1.5264000000000055,212,37.017
1.5336000000000056,213,19.584
1.5408000000000057,214,13.256
1.5480000000000058,215,2.677
1.555200000000006,216,5.369
1.562400000000006,217,-9.881
1.569600000000006,218,-6.174
1.5768000000000062,219,-19.192
1.5840000000000063,220,-17.088
1.5912000000000064,221,-26.016
1.5984000000000065,222,-27.54
1.6056000000000066,223,-31.124
1.6128000000000067,224,-27.052
1.6200000000000068,225,-32.692
1.6272000000000069,226,-32.685
1.634400000000007,227,-35.233
1.641600000000007,228,-37.649
1.6488000000000071,229,-33.115
1.6560000000000072,230,-38.076
1.6632000000000073,231,-32.124
1.6704000000000074,232,-34.54
1.6776000000000075,233,-33.47
1.6848000000000076,234,-34.255
1.6920000000000077,235,-33.181
1.6992000000000078,236,-30.805
1.706400000000008,237,-29.471
1.713600000000008,238,-26.83
1.720800000000008,239,-21.226
1.7280000000000082,240,-18.941
1.7352000000000083,241,-19.005
1.7424000000000084,242,-13.978
1.7496000000000085,243,-12.375
1.7568000000000086,244,-9.486
1.7640000000000087,245,-6.896
1.7712000000000088,246,-4.686
1.7784000000000089,247,-2.119
1.785600000000009,248,1.43
1.792800000000009,249,4.775
1.8000000000000091,250,9.045
1.8072000000000092,251,13.914
1.8144000000000093,252,16.299
1.8216000000000094,253,20.101
1.8288000000000095,254,23.032
1.8360000000000096,255,27.632
1.8432000000000097,256,30.506
1.8504000000000098,257,34.733
1.85760000000001,258,38.317
1.86480000000001,259,42.407
1.87200000000001,260,45.954
